NumEstacao,NomeEntidade,EnderecoEstacao,SiglaUf,CodMunicipio,NomeMunicipio,Latitude,Longitude,2G,3G,4G,5G
1014274874,CLARO,AVENIDA AMAZONAS 315 CONTINUAÇÃO DA RUA COELHO NETO315,MG,3122306,Divinópolis,20S0911,44W5402,SIM,SIM,SIM,
1014274882,CLARO,RUA SÃO PAULO 658 PRAÇA BENEDITO VALADARES 88,MG,3122306,Divinópolis,20S0834,44W5328,SIM,SIM,SIM,
1014274904,CLARO,RUA MINAS GERAIS 1236,MG,3122306,Divinópolis,20S0835,44W5348,SIM,SIM,SIM,
1014274912,CLARO,RUA ITUTINGA 456,MG,3122306,Divinópolis,20S0713,44W5309,SIM,SIM,SIM,
1014274920,CLARO,RUA EPAMINONDAS DE ASSIS 462,MG,3122306,Divinópolis,20S1043,44W5428,SIM,SIM,SIM,
1014274947,CLARO,RUA IBITURUNA S/N,MG,3122306,Divinópolis,20S0917,44W5446,SIM,SIM,SIM,
1014332904,ALGAR,RUA SEIS 0,MG,3122306,Divinópolis,20S1502,44W5224,,SIM,SIM,
1014526814,TIM,Avenida Tamareira 211 Gleba 400 - Faz Pari,MG,3122306,Divinópolis,20S1105,44W5534,,,SIM,
1014907648,CLARO,R OITO 294,MG,3122306,Divinópolis,20S0802,44W5041,SIM,SIM,SIM,
1015130370,TIM,RUA FRANCISCO CANDIDO DE JESUS 370 (LOTES 90 E 132 QUADRA 027) - Belvedere 0,MG,3122306,Divinópolis,20S1040,44W5355,SIM,,,
1015130396,TIM,RUA ALMIRANTE TAMANDARE EM FRENTE AO 351 - Catalão 0,MG,3122306,Divinópolis,20S0916,44W5406,SIM,,,
1015130418,TIM,RODOVIA JOAO MARTINS COELHO S/N (KM 7 FAZENDA FUMAL) - SANTO ANTÔNIO DOS CAMPOS 0,MG,3122306,Divinópolis,20S0626,44W5758,SIM,,,
1015130477,TIM,RUA CHUMBO S/N (X RUA BÓRIO) - São João de Deus 0,MG,3122306,Divinópolis,20S0852,44W5228,SIM,,,
1015130485,TIM,AVENIDA 14 S/N (ESQUINA COM RUA A) - LIBERDADE 0,MG,3122306,Divinópolis,20S0744,44W5342,SIM,,,
1015130523,TIM,RUA FERNÃO DIAS 531 - Porto Velho 0,MG,3122306,Divinópolis,20S0857,44W5257,SIM,,,
1015130531,TIM,RUA SÉRGIO LIBÉRIO PACHECO SN - Dona Quita 0,MG,3122306,Divinópolis,20S0954,44W5203,SIM,,,
1015130558,TIM,RUA VINICIUS DE MORAES 143 - PACAEMBU 0,MG,3122306,Divinópolis,20S1018,44W5505,SIM,,,
1015130566,TIM,RUA MANAUS S/N (LOTE 190 E 224 QUADRA 171 X RUA RAIMUNDO FERREIRA DA SILVA) - Santa Tereza 0,MG,3122306,Divinópolis,20S0959,44W5244,SIM,,,
1015130604,TIM,RUA JOÃO MORATO DE FARIA 172 - CENTRO 0,MG,3122306,Divinópolis,20S0851,44W5328,SIM,,,
1015131015,TIM,RUA BEIRA ALTA MORRO DA LAJINHA - São Luís 0,MG,3122306,Divinópolis,20S0851,44W5146,SIM,,,
1015132305,TIM,RUA MOACIR JOSÉ LEITE 100 - JARDIM NOVA AMÉRICA - Jardim Nova América 0,MG,3122306,Divinópolis,20S0738,44W5256,SIM,,,
1015132402,TIM,RUA JOÃO PEREIRA NETO S/N (PRÓXINO A CAIXA D´AGUA) - Residencial Doutor Walchir Resende Costa 0,MG,3122306,Divinópolis,20S0742,44W5427,SIM,,,
